H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_Time,Worked
2009-01-14 01:00:00,2009-01-14 02:00:00,Up,1354.189905,1349.152621,1351.111565,2009-01-14 02:05:00,2009-01-14 02:23:00,True
2009-01-14 02:00:00,2009-01-14 03:00:00,Up,1351.951112,1342.436242,1343.835488,2009-01-14 03:03:00,2009-01-14 03:20:00,True
2009-01-14 03:00:00,2009-01-14 04:00:00,Up,1345.794432,1337.398958,1339.637751,2009-01-14 04:02:00,2009-01-14 04:31:00,True
2009-01-14 04:00:00,2009-01-14 05:00:00,Down,1341.876544,1334.600467,1341.036996,2009-01-14 05:06:00,2009-01-14 05:20:00,True
2009-01-14 06:00:00,2009-01-14 07:00:00,Up,1339.078053,1334.880316,1335.719863,2009-01-14 07:03:00,N/A,False
2009-01-14 07:00:00,2009-01-14 08:00:00,Up,1336.83926,1323.126653,1326.204993,2009-01-14 08:08:00,2009-01-14 08:24:00,True
2009-01-14 08:00:00,2009-01-14 09:00:00,Up,1331.242277,1312.492386,1318.089368,2009-01-14 09:17:00,N/A,False
2009-01-14 09:00:00,2009-01-14 10:00:00,Up,1322.007256,1299.899175,1304.376761,2009-01-14 10:11:00,2009-01-14 10:20:00,True
2009-01-14 13:00:00,2009-01-14 14:00:00,Up,1314.45133,1302.137968,1307.455102,2009-01-14 14:03:00,N/A,False
2009-01-15 01:00:00,2009-01-15 02:00:00,Down,1286.746267,1283.947775,1286.746267,2009-01-15 02:02:00,2009-01-15 02:20:00,True
2009-01-15 03:00:00,2009-01-15 04:00:00,Down,1281.988832,1275.272453,1279.470189,2009-01-15 04:09:00,2009-01-15 04:20:00,True
2009-01-15 08:00:00,2009-01-15 09:00:00,Up,1300.179025,1280.589586,1288.145512,2009-01-15 09:15:00,N/A,False
2009-01-15 11:00:00,2009-01-15 12:00:00,Down,1288.425361,1277.231396,1285.62687,2009-01-15 12:03:00,N/A,False
2009-01-15 12:00:00,2009-01-15 13:00:00,Down,1314.45133,1285.347021,1310.813291,2009-01-15 13:01:00,N/A,False
2009-01-15 13:00:00,2009-01-15 14:00:00,Down,1331.242277,1309.693895,1322.846803,2009-01-15 14:19:00,2009-01-15 14:25:00,True
2009-01-16 04:00:00,2009-01-16 05:00:00,Up,1341.316846,1332.641523,1334.040768,2009-01-16 05:00:00,2009-01-16 05:30:00,True
2009-01-16 06:00:00,2009-01-16 07:00:00,Up,1342.99594,1336.55941,1340.197449,2009-01-16 07:10:00,N/A,False
2009-01-16 08:00:00,2009-01-16 09:00:00,Up,1343.835488,1329.003484,1330.962428,2009-01-16 09:10:00,2009-01-16 09:27:00,True
2009-01-16 09:00:00,2009-01-16 10:00:00,Up,1338.518354,1324.246049,1329.563182,2009-01-16 10:14:00,2009-01-16 10:25:00,True
2009-01-16 10:00:00,2009-01-16 11:00:00,Up,1330.682579,1314.731179,1318.089368,2009-01-16 11:08:00,N/A,False
2009-01-16 12:00:00,2009-01-16 13:00:00,Down,1327.04454,1310.253593,1325.085596,2009-01-16 13:06:00,2009-01-16 13:20:00,True
2009-01-16 13:00:00,2009-01-16 14:00:00,Down,1335.160165,1320.60801,1334.320617,2009-01-16 14:01:00,2009-01-16 14:21:00,True
2009-01-19 01:00:00,2009-01-19 02:00:00,Up,1356.708547,1352.230961,1356.708547,2009-01-19 02:03:00,2009-01-19 02:20:00,True
2009-01-19 02:00:00,2009-01-19 03:00:00,Up,1359.507039,1349.152621,1352.51081,2009-01-19 03:14:00,2009-01-19 03:21:00,True
2009-01-19 05:01:00,2009-01-19 06:01:00,Up,1353.350358,1348.592923,1349.712319,2009-01-19 06:02:00,2009-01-19 06:21:00,True
