H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_time,Worked
2025-08-29 06:00:00,2025-08-29 07:00:00,Down,23654.5,23630.75,23639.5,2025-08-29 07:04:00,2025-08-29 07:18:00,True
2025-08-29 08:00:00,2025-08-29 09:00:00,Down,23670.25,23507.25,23519.75,2025-08-29 09:00:00,2025-08-29 09:00:00,True
2025-08-29 11:00:00,2025-08-29 12:00:00,Down,23492.0,23428.75,23477.75,2025-08-29 12:05:00,N/A,False
2025-08-29 13:00:00,2025-08-29 14:00:00,Up,23467.25,23433.5,23459.0,2025-08-29 14:06:00,2025-08-29 14:06:00,True
2025-08-31 17:00:00,2025-08-31 18:00:00,Up,23537.0,23464.0,23535.25,2025-08-31 18:00:00,2025-08-31 18:11:00,True
2025-08-31 18:00:00,2025-08-31 19:00:00,Up,23546.25,23530.0,23538.5,2025-08-31 19:07:00,2025-08-31 19:25:00,True
2025-08-31 19:00:00,2025-08-31 20:00:00,Down,23552.5,23530.0,23538.5,2025-08-31 20:19:00,N/A,False
2025-08-31 20:00:00,2025-08-31 21:00:00,Down,23540.25,23508.25,23518.0,2025-08-31 21:03:00,N/A,False
2025-08-31 21:00:00,2025-08-31 22:00:00,Down,23518.5,23466.0,23469.0,2025-08-31 22:00:00,2025-08-31 22:00:00,True
2025-09-01 00:00:00,2025-09-01 01:00:00,Down,23449.25,23410.0,23429.5,2025-09-01 01:03:00,2025-09-01 01:40:00,True
2025-09-01 02:00:00,2025-09-01 03:00:00,Up,23477.5,23442.25,23469.5,2025-09-01 03:09:00,2025-09-01 03:15:00,True
2025-09-01 05:00:00,2025-09-01 06:00:00,Down,23501.25,23480.25,23485.75,2025-09-01 06:19:00,N/A,False
2025-09-01 07:00:00,2025-09-01 08:00:00,Up,23482.5,23460.0,23477.25,2025-09-01 08:14:00,2025-09-01 08:18:00,True
2025-09-01 09:00:00,2025-09-01 10:00:00,Up,23493.0,23479.0,23490.75,2025-09-01 10:04:00,2025-09-01 10:04:00,True
2025-09-01 17:00:00,2025-09-01 18:00:00,Down,23509.5,23461.0,23462.5,2025-09-01 18:00:00,2025-09-01 18:00:00,True
2025-09-01 19:00:00,2025-09-01 20:00:00,Up,23474.75,23431.0,23473.25,2025-09-01 20:00:00,2025-09-01 20:00:00,True
2025-09-01 20:00:00,2025-09-01 21:00:00,Down,23484.5,23438.5,23439.0,2025-09-01 21:00:00,2025-09-01 21:00:00,True
2025-09-01 22:00:00,2025-09-01 23:00:00,Up,23442.25,23416.0,23437.75,2025-09-01 23:08:00,2025-09-01 23:35:00,True
2025-09-01 23:00:00,2025-09-02 00:00:00,Down,23451.0,23427.75,23438.25,2025-09-02 00:06:00,N/A,False
2025-09-02 01:00:00,2025-09-02 02:00:00,Down,23448.0,23407.25,23448.0,2025-09-02 02:12:00,N/A,False
2025-09-02 02:00:00,2025-09-02 03:00:00,Down,23452.0,23270.0,23278.5,2025-09-02 03:00:00,2025-09-02 03:00:00,True
2025-09-02 04:00:00,2025-09-02 05:00:00,Down,23331.5,23291.25,23292.0,2025-09-02 05:00:00,2025-09-02 05:00:00,True
2025-09-02 05:00:00,2025-09-02 06:00:00,Down,23311.0,23231.75,23254.5,2025-09-02 06:09:00,N/A,False
2025-09-02 06:00:00,2025-09-02 07:00:00,Down,23260.25,23218.75,23224.25,2025-09-02 07:00:00,N/A,False
2025-09-02 08:00:00,2025-09-02 09:00:00,Up,23260.75,23025.25,23230.0,2025-09-02 09:00:00,2025-09-02 09:02:00,True
2025-09-02 09:00:00,2025-09-02 10:00:00,Down,23280.0,23135.5,23162.25,2025-09-02 10:06:00,N/A,False
2025-09-02 11:00:00,2025-09-02 12:00:00,Up,23131.0,23037.75,23126.5,2025-09-02 12:00:00,2025-09-02 12:00:00,True
2025-09-02 13:00:00,2025-09-02 14:00:00,Up,23232.75,23157.5,23189.0,2025-09-02 14:18:00,N/A,False
2025-09-02 14:00:00,2025-09-02 15:00:00,Up,23290.25,23188.5,23277.0,2025-09-02 15:07:00,N/A,False
2025-09-02 17:00:00,2025-09-02 18:00:00,Down,23387.75,23335.25,23341.5,2025-09-02 18:19:00,2025-09-02 18:19:00,True
2025-09-02 18:00:00,2025-09-02 19:00:00,Down,23345.5,23326.75,23333.75,2025-09-02 19:00:00,2025-09-02 19:00:00,True
2025-09-02 23:00:00,2025-09-03 00:00:00,Down,23336.0,23319.0,23330.75,2025-09-03 00:05:00,2025-09-03 00:14:00,True
2025-09-03 00:00:00,2025-09-03 01:00:00,Up,23336.75,23308.0,23316.0,2025-09-03 01:12:00,N/A,False
2025-09-03 02:00:00,2025-09-03 03:00:00,Up,23382.75,23320.5,23376.0,2025-09-03 03:04:00,N/A,False
2025-09-03 05:00:00,2025-09-03 06:00:00,Up,23448.0,23423.25,23441.0,2025-09-03 06:01:00,2025-09-03 06:15:00,True
2025-09-03 07:00:00,2025-09-03 08:00:00,Up,23448.0,23399.75,23422.25,2025-09-03 08:13:00,2025-09-03 08:29:00,True
2025-09-03 08:00:00,2025-09-03 09:00:00,Up,23457.0,23370.0,23384.0,2025-09-03 09:07:00,2025-09-03 09:13:00,True
2025-09-03 12:00:00,2025-09-03 13:00:00,Down,23462.0,23346.75,23365.25,2025-09-03 13:00:00,2025-09-03 13:00:00,True
2025-09-03 14:00:00,2025-09-03 15:00:00,Up,23455.0,23330.0,23452.25,2025-09-03 15:00:00,2025-09-03 15:00:00,True
2025-09-03 18:00:00,2025-09-03 19:00:00,Down,23457.25,23431.75,23437.5,2025-09-03 19:00:00,2025-09-03 19:00:00,True
2025-09-03 20:00:00,2025-09-03 21:00:00,Up,23509.75,23484.75,23497.75,2025-09-03 21:02:00,2025-09-03 21:30:00,True
2025-09-03 21:00:00,2025-09-03 22:00:00,Down,23532.0,23475.5,23480.25,2025-09-03 22:03:00,2025-09-03 22:19:00,True
2025-09-03 22:00:00,2025-09-03 23:00:00,Up,23484.0,23459.0,23469.25,2025-09-03 23:10:00,N/A,False
2025-09-03 23:00:00,2025-09-04 00:00:00,Up,23495.0,23469.25,23491.0,2025-09-04 00:17:00,2025-09-04 00:22:00,True
2025-09-04 01:00:00,2025-09-04 02:00:00,Down,23482.25,23452.75,23454.5,2025-09-04 02:00:00,2025-09-04 02:00:00,True
2025-09-04 04:00:00,2025-09-04 05:00:00,Up,23518.0,23491.5,23516.25,2025-09-04 05:00:00,2025-09-04 05:00:00,True
2025-09-04 06:00:00,2025-09-04 07:00:00,Up,23520.75,23480.0,23496.5,2025-09-04 07:15:00,2025-09-04 07:19:00,True
2025-09-04 07:00:00,2025-09-04 08:00:00,Down,23522.75,23469.5,23484.75,2025-09-04 08:06:00,2025-09-04 08:29:00,True
2025-09-04 08:00:00,2025-09-04 09:00:00,Down,23548.25,23457.25,23477.5,2025-09-04 09:02:00,2025-09-04 09:24:00,True
2025-09-04 09:00:00,2025-09-04 10:00:00,Up,23530.25,23410.0,23522.0,2025-09-04 10:00:00,2025-09-04 10:00:00,True
2025-09-04 11:00:00,2025-09-04 12:00:00,Up,23565.25,23512.5,23538.5,2025-09-04 12:04:00,N/A,False
2025-09-04 13:00:00,2025-09-04 14:00:00,Up,23625.0,23582.5,23620.0,2025-09-04 14:01:00,2025-09-04 14:03:00,True
2025-09-04 14:00:00,2025-09-04 15:00:00,Up,23680.25,23616.5,23666.0,2025-09-04 15:11:00,2025-09-04 15:15:00,True
2025-09-04 17:00:00,2025-09-04 18:00:00,Up,23713.75,23691.75,23707.0,2025-09-04 18:06:00,2025-09-04 18:36:00,True
2025-09-04 18:00:00,2025-09-04 19:00:00,Down,23716.25,23704.5,23706.0,2025-09-04 19:00:00,2025-09-04 19:00:00,True
2025-09-04 19:00:00,2025-09-04 20:00:00,Up,23731.75,23701.25,23729.0,2025-09-04 20:00:00,2025-09-04 20:02:00,True
2025-09-04 22:00:00,2025-09-04 23:00:00,Up,23742.75,23726.0,23742.25,2025-09-04 23:01:00,2025-09-04 23:01:00,True
2025-09-04 23:00:00,2025-09-05 00:00:00,Up,23751.75,23740.0,23745.0,2025-09-05 00:16:00,N/A,False
2025-09-05 00:00:00,2025-09-05 01:00:00,Up,23771.0,23740.75,23761.5,2025-09-05 01:07:00,N/A,False
2025-09-05 01:00:00,2025-09-05 02:00:00,Down,23788.0,23759.25,23771.75,2025-09-05 02:03:00,N/A,False
2025-09-05 03:00:00,2025-09-05 04:00:00,Up,23787.25,23748.5,23787.25,2025-09-05 04:00:00,2025-09-05 04:00:00,True
2025-09-05 04:00:00,2025-09-05 05:00:00,Down,23791.75,23777.5,23783.75,2025-09-05 05:06:00,2025-09-05 05:13:00,True
2025-09-05 05:00:00,2025-09-05 06:00:00,Up,23789.5,23774.0,23776.25,2025-09-05 06:11:00,2025-09-05 06:57:00,True
2025-09-05 07:00:00,2025-09-05 08:00:00,Up,23875.0,23725.5,23873.75,2025-09-05 08:00:00,2025-09-05 08:00:00,True
2025-09-05 08:00:00,2025-09-05 09:00:00,Down,23902.0,23821.75,23853.0,2025-09-05 09:00:00,2025-09-05 09:00:00,True
2025-09-05 09:00:00,2025-09-05 10:00:00,Down,23853.5,23544.75,23547.75,2025-09-05 10:00:00,2025-09-05 10:00:00,True
2025-09-05 13:00:00,2025-09-05 14:00:00,Up,23664.0,23603.25,23657.0,2025-09-05 14:05:00,2025-09-05 14:05:00,True
2025-09-05 14:00:00,2025-09-05 15:00:00,Up,23694.25,23641.25,23691.0,2025-09-05 15:00:00,2025-09-05 15:00:00,True
2025-09-07 17:00:00,2025-09-07 18:00:00,Up,23748.0,23650.25,23740.75,2025-09-07 18:05:00,N/A,False
2025-09-07 18:00:00,2025-09-07 19:00:00,Up,23784.25,23740.75,23778.25,2025-09-07 19:06:00,2025-09-07 19:14:00,True
2025-09-07 19:00:00,2025-09-07 20:00:00,Down,23791.25,23764.0,23764.75,2025-09-07 20:02:00,2025-09-07 20:02:00,True
2025-09-07 20:00:00,2025-09-07 21:00:00,Down,23780.0,23757.0,23768.25,2025-09-07 21:04:00,N/A,False
2025-09-07 22:00:00,2025-09-07 23:00:00,Down,23763.5,23741.25,23754.0,2025-09-07 23:14:00,N/A,False
2025-09-08 00:00:00,2025-09-08 01:00:00,Up,23751.25,23729.25,23730.75,2025-09-08 01:04:00,N/A,False
2025-09-08 01:00:00,2025-09-08 02:00:00,Up,23763.0,23730.25,23753.0,2025-09-08 02:04:00,2025-09-08 02:55:00,True
2025-09-08 02:00:00,2025-09-08 03:00:00,Down,23781.5,23750.75,23753.25,2025-09-08 03:00:00,2025-09-08 03:00:00,True
2025-09-08 04:00:00,2025-09-08 05:00:00,Up,23786.0,23754.75,23781.25,2025-09-08 05:13:00,2025-09-08 05:18:00,True
2025-09-08 05:00:00,2025-09-08 06:00:00,Down,23790.0,23769.25,23771.5,2025-09-08 06:00:00,2025-09-08 06:01:00,True
2025-09-08 06:00:00,2025-09-08 07:00:00,Down,23782.25,23760.5,23762.5,2025-09-08 07:00:00,2025-09-08 07:00:00,True
2025-09-08 07:00:00,2025-09-08 08:00:00,Up,23779.5,23743.5,23778.25,2025-09-08 08:00:00,2025-09-08 08:00:00,True
2025-09-08 10:00:00,2025-09-08 11:00:00,Down,23884.75,23829.75,23873.0,2025-09-08 11:17:00,N/A,False
2025-09-08 11:00:00,2025-09-08 12:00:00,Down,23873.75,23790.0,23811.5,2025-09-08 12:05:00,2025-09-08 12:23:00,True
2025-09-08 13:00:00,2025-09-08 14:00:00,Down,23819.75,23772.25,23793.75,2025-09-08 14:12:00,2025-09-08 14:40:00,True
2025-09-08 17:00:00,2025-09-08 18:00:00,Up,23829.0,23798.0,23825.75,2025-09-08 18:01:00,2025-09-08 18:03:00,True
2025-09-08 18:00:00,2025-09-08 19:00:00,Down,23830.25,23803.75,23807.5,2025-09-08 19:00:00,2025-09-08 19:00:00,True
2025-09-08 20:00:00,2025-09-08 21:00:00,Up,23818.25,23790.75,23814.0,2025-09-08 21:01:00,N/A,False
2025-09-08 23:00:00,2025-09-09 00:00:00,Down,23840.75,23830.5,23836.5,2025-09-09 00:15:00,2025-09-09 00:55:00,True
2025-09-09 00:00:00,2025-09-09 01:00:00,Up,23842.25,23814.75,23835.0,2025-09-09 01:04:00,N/A,False
2025-09-09 01:00:00,2025-09-09 02:00:00,Up,23855.75,23830.5,23850.5,2025-09-09 02:09:00,2025-09-09 02:49:00,True
2025-09-09 02:00:00,2025-09-09 03:00:00,Down,23885.25,23846.5,23855.0,2025-09-09 03:07:00,2025-09-09 03:31:00,True
2025-09-09 04:00:00,2025-09-09 05:00:00,Up,23856.0,23835.75,23844.5,2025-09-09 05:13:00,2025-09-09 05:30:00,True
2025-09-09 05:00:00,2025-09-09 06:00:00,Down,23860.25,23837.75,23845.25,2025-09-09 06:03:00,2025-09-09 06:46:00,True
2025-09-09 06:00:00,2025-09-09 07:00:00,Up,23853.25,23811.75,23849.5,2025-09-09 07:13:00,2025-09-09 07:13:00,True
2025-09-09 07:00:00,2025-09-09 08:00:00,Down,23857.25,23833.0,23839.25,2025-09-09 08:01:00,2025-09-09 08:30:00,True
2025-09-09 08:00:00,2025-09-09 09:00:00,Down,23857.75,23800.0,23815.5,2025-09-09 09:00:00,2025-09-09 09:00:00,True
2025-09-09 10:00:00,2025-09-09 11:00:00,Up,23812.75,23752.0,23784.5,2025-09-09 11:10:00,N/A,False
2025-09-09 11:00:00,2025-09-09 12:00:00,Up,23833.75,23781.5,23821.25,2025-09-09 12:02:00,N/A,False
2025-09-09 13:00:00,2025-09-09 14:00:00,Up,23849.0,23823.5,23843.5,2025-09-09 14:18:00,2025-09-09 14:40:00,True
2025-09-09 17:00:00,2025-09-09 18:00:00,Down,23911.5,23890.0,23896.25,2025-09-09 18:00:00,2025-09-09 18:00:00,True
2025-09-09 19:00:00,2025-09-09 20:00:00,Down,23899.5,23881.25,23886.25,2025-09-09 20:03:00,2025-09-09 20:23:00,True
2025-09-09 22:00:00,2025-09-09 23:00:00,Up,23918.75,23910.75,23917.75,2025-09-09 23:00:00,2025-09-09 23:00:00,True
